"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","2","2073-RFPC-SMA28-F-ND","RFPC-SMA28-F","SMA VERTICAL PCB JACK","","2","0","1.75000","3.50"
"2","3","296-50584-1-ND","TPD1E0B04DPLR","TVS DIODE 3.6VWM 10.1VC 2X2SON","","3","0","0.60000","1.80"
"3","2","2073-USB4105-GF-ACT-ND","USB4105-GF-A","CONN RCP USB2.0 TYP C 16P SMD RA","","2","0","0.80000","1.60"
"4","2","712-0900FM15K0039001ECT-ND","0900FM15K0039001E","CER FILTER 895MHZ BAND PASS","","2","0","0.49000","0.98"
"5","2","535-10261-1-ND","ABM8G-12.000MHZ-18-D2Y-T","CRYSTAL 12.0000MHZ 18PF SMD","","2","0","0.43000","0.86"

